yellow,255,255,0
yellow,255,255,49
yellow,252,247,94
yellow,247,233,142
yellow,251,236,93
yellow,40,225,48
yellow,228,217,111
yellow,228,208,10
yellow,180,164,64
green,0,255,0
green,124,252,0
green,102,255,0
green,172,225,175
green,147,197,114
green,133,187,101
green,3,192,60
green,0,128,0
green,178,236,9
green,59,91,93
red,255,0,0
red,255,105,97
red,255,92,92
red,205,92,92
red,215,59,62
red,204,0,0
red,179,27,27
red,128,0,0
red,112,28,28
red,88,56,65
black,0,0,0
black,41,67,89
black,90,92,99
white_silver,255,255,255
white_silver,211,212,213
white_silver,131,142,154
white_silver,155,165,157
white_silver,180,189,193
blue_cyan,0,0,255
blue_cyan,42,82,190
blue_cyan,0,47,167
blue_cyan,0,51,153
blue_cyan,18,10,143
blue_cyan,0,0,128
blue_cyan,25,25,112
blue_cyan,8,37,103
blue_cyan,52, 95, 139
